Title,Company,Deadline,Location,Link
Supply specialist,Greenhouse Engineering LLC,23 July 2020,Yerevan,https://staff.am/en/supply-specialist-3
Graphic Designer,SoftConstruct,23 July 2020,Yerevan,https://staff.am/en/illustrator-30
Payments Expert,DataArt Armenia,23 July 2020,Yerevan,https://staff.am/en/payments-expert
Customer Support Specialist - English language,TT soft,23 July 2020,Yerevan,https://staff.am/en/customer-support-specialist-english-language-1
Debt Collection Specialist,Գուդկրեդիտ ՈւՎԿ ՓԲԸ,23 July 2020,Yerevan,https://staff.am/en/debt-collection-specialist-12
Info Consultant,Evocabank,13 July 2020,Vanadzor,https://staff.am/en/info-consultant-3
Relationship Manager,Exinity Group,23 July 2020,Yerevan,https://staff.am/en/relationship-manager-5
Head of Customer Service / Armenia,Exinity Group,23 July 2020,Yerevan,https://staff.am/en/head-of-customer-service-armenia
IT Security Engineer,SoftConstruct,22 July 2020,Yerevan,https://staff.am/en/it-security-engineer-6
Talent Acquisition Specialist,Evolution Gaming,05 July  2020,Yerevan,https://staff.am/en/talent-acquisition-specialist-16
SME Business Product Planning and Management Team Specialist,ACBA-CREDIT AGRICOLE BANK CJSC,23 July 2020,Yerevan,https://staff.am/en/sme-business-product-planning-and-management-team-specialist
Information security compliance officer,Digitain ,23 July 2020,Yerevan,https://staff.am/en/information-security-compliance-officer-1
Information security officer,Digitain ,23 July 2020,Yerevan,https://staff.am/en/information-security-officer-15
iOS developer,Telcell CJSC,20 July 2020,Yerevan,https://staff.am/en/ios-developer-226
Android developer,Telcell CJSC,20 July 2020,Yerevan,https://staff.am/en/android-developer-246
UI/UX Designer,MentorcliQ,22 July 2020,Yerevan,https://staff.am/en/uiux-designer-368
C++ Engineer,PicsArt,30 June 2020,Yerevan,https://staff.am/en/c-engineer-4
QA Engineer,IndexBoard,22 July 2020,Yerevan,https://staff.am/en/qa-engineer-503
Sales manager,Telecom,22 July 2020,Yerevan,https://staff.am/en/sales-manager-408
QA Engineer,Digitain ,06 July 2020,Yerevan,https://staff.am/en/qa-engineer-500
SME Department of the Ministry of Economy is looking for an expert,ՀՀ Էկոնոմիկայի նախարարություն,30 June 2020,Yerevan,https://staff.am/en/sme-department-of-the-ministry-of-economy-is-looking-for-an-expert
Քիմիկ,Սերտիֆիկացման միջազգային կենտրոն ՍՊԸ,22 July 2020,Yerevan,https://staff.am/en/kimik
Security and fire systems specialist,Locator CJSC,22 July 2020,Yerevan,https://staff.am/en/security-and-fire-systems-specialist-1
Internal monitoring specialist,Easy Pay LLC,22 July 2020,Yerevan,https://staff.am/en/internal-monitoring-specialist
Project Manager,Codics Software Producers,10 July 2020,Yerevan,https://staff.am/en/project-manager-262
Full Stack .Net Developer,Margasoft Corp,22 July 2020,Yerevan,https://staff.am/en/full-stack-net-developer-20
Quality Assurance and Testing Specialist,ID Bank CJSC,12 July 2020,Yerevan,https://staff.am/en/quality-assurance-and-testing-specialist
Internal Audit Specialist,SoftConstruct,06 July 2020,Yerevan,https://staff.am/en/internal-audit-specialist-34
Senior Sitecore Developer,DataArt Armenia,22 July 2020,Yerevan,https://staff.am/en/senior-sitecore-developer
"Embedded Software Engineer, Communications Services",DataArt Armenia,22 July 2020,Yerevan,https://staff.am/en/embedded-software-engineer-communications-services
Senior Programmer,ACRA CREDIT REPORTING CJSC,06 July 2020,Yerevan,https://staff.am/en/senior-programmer-2
Video Surveillance Specialist (mixed shifts),SoftConstruct,30 June 2020,Yerevan,https://staff.am/en/video-surveillance-specialist-mixed-shifts-6
Senior PHP Software Engineer,MentorcliQ,22 July 2020,Yerevan,https://staff.am/en/senior-php-software-engineer-4
QA Engineer,ACRA CREDIT REPORTING CJSC,06 July 2020,Yerevan,https://staff.am/en/qa-engineer-499
Պրեսելլեր,Derjava,22 July 2020,Yerevan,https://staff.am/en/preseller-67
Data Engineer,Webb Fontaine Holding LLC,22 July 2020,Yerevan,https://staff.am/en/data-engineer-51
Senior QA engineer,RedKiteLLC,22 July 2020,Yerevan,https://staff.am/en/senior-qa-engineer-160
Հարկային հաշվառման խմբի ղեկավար,Veolia Armenia,20 July 2020,Yerevan,https://staff.am/en/harkayin-hasvarman-xmbi-gekavar
Intern,Vardanyan & Partners,22 July 2020,Yerevan,https://staff.am/en/intern-28
Online Sales & Delivery Specialist,LEVI'S,10 July 2020,Yerevan,https://staff.am/en/online-sales-delivery-specialist
"Հաճախորդների սպասարկման մասնագետ, ք. Մասիս",«ՎՏԲ-Հայաստան Բանկ»,30 June 2020,Masis,https://staff.am/en/hacaxordneri-spasarkman-masnaget-k-masis
"Հաճախորդների սպասարկման մասնագետ, ք. Էջմիածին",«ՎՏԲ-Հայաստան Բանկ»,30 June 2020,Vagharshapat,https://staff.am/en/hacaxordneri-spasarkman-masnaget-k-ejmiacin-4
Content Writer / Project Writer - Internship - NATIVE LEVEL ENGLISH ,Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/content-writer-project-writer-internship-native-level-english-34
INTERNSHIP 6 Month: Graphic Designer,Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/internship-6-month-graphic-designer-12
INTERNSHIP 6 Month: UI/UX Designer,Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/internship-6-month-uiux-designer-24
NATIVE SPEAKER German Content Writer / German Desk - Internship,Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/native-speaker-german-content-writer-german-desk-internship-16
WordPress Developer (ENGLISH IS WORKING LANGUAGE),Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/wordpress-developer-english-is-working-language-31
NATIVE SPEAKER GERMAN Office Employee / Academical Writer,Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/native-speaker-german-office-employee-academical-writer-16
Content Writer / Project Writer - Internship - NATIVE LEVEL ENGLISH ,Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/content-writer-project-writer-internship-native-level-english-31
WordPress Plugin Developer,Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/wordpress-plugin-developer-78
Back-end Developer Internship (6 month),Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/back-end-developer-internship-3-6-month-58
Experienced Trainer for Intensive Social Media Marketing (SMM) Course / Training,Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/experienced-trainer-for-intensive-social-media-marketing-smm-course-training-16
Experienced Trainer for UX Design and Web Application Design (Training for Staff),Willing & Able Operations LLC,20 July 2020,Yerevan,https://staff.am/en/experienced-trainer-for-ux-design-and-web-application-design-training-for-staff-12
Specialist 1C (8.3 program),ՇԻՆԱՐԱՐԱԿԱՆ ՍՊԸ,19 July 2020,Yerevan,https://staff.am/en/specialist-1c-83-program
Customer Service Specialist(night shift job),Commonwealth Casualty Company,19 July 2020,Yerevan,https://staff.am/en/customer-service-specialistnight-shift-job-3
Վարորդ,AREGAK UCO CJSC,03 July 2020,Ashotsk,https://staff.am/en/varord-39
Գրասենյակի օգնական,AREGAK UCO CJSC,03 July 2020,Ashotsk,https://staff.am/en/grasenyaki-ognakan-4
Հաշվետար,Մեհրաբյան և որդիներ ՍՊԸ,19 July 2020,Yerevan,https://staff.am/en/hasvetar-51
Human Resources Expert,International Development Group LLC,17 July 2020,Yerevan,https://staff.am/en/human-resources-expert
Graphic designer,IMEX GROUP,19 July 2020,Yerevan,https://staff.am/en/graphic-designer-365
Marketing Specialist,IMEX GROUP,19 July 2020,Yerevan,https://staff.am/en/marketing-specialist-214
Security worker,IMEX GROUP,19 July 2020,Yerevan,https://staff.am/en/security-worker-3
Senior Golang Developer,All.me LLC,15 July 2020,Yerevan,https://staff.am/en/senior-golang-developer-7
"Designer, packaging construction, sample maker",TIARA LLC,19 July 2020,Yerevan,https://staff.am/en/designer-packaging-construction-sample-maker-1
UI/UX Designer,Routetitan,19 July 2020,Yerevan,https://staff.am/en/uiux-designer-392
Sponsorship Assistant,World Vision Armenia,03 July 2020,Aparan,https://staff.am/en/sponsorship-assistant-7
Project Manager,WEBIHUB,19 July 2020,Yerevan,https://staff.am/en/project-manager-259
Java Engineer (Game),Rockbite Games,19 July 2020,Yerevan,https://staff.am/en/java-engineer-game-4
